Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocDesc,Sponsor,ProgramKey,NumPOCs
Lynden,LYND1,IMPAER,US,WA,53073,530730020,48.9533,-122.5586,28,10/16/1996,12/29/1999,NA,Unknown,NA,FCC Monitoring Station W of Lyndon,NA,IMPROVE,1
M.K. Goddard,MKGO1,IMPAER,US,PA,42085,420859000,41.4269,-80.1453,379,04/04/2001,12/31/2010,NA,Unknown,NA,NA,EPA,IMPROVE,1
Makah Tribe,MAKA1,IMPAER,US,WA,NA,NA,48.37185,-124.595,-999,09/02/2006,10/29/2010,NA,NA,NA,NA,NA,IMPROVE,1
Makah Tribe Site #2,MAKA2,IMPAER,US,WA,NA,NA,48.29782,-124.62488,480,11/01/2010,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Mammoth Cave NP,MACA1,IMPAER,US,KY,21061,210619000,37.1318,-86.1479,235,09/04/1991,02/27/2020,NA,Unknown,NA,Houchin Meadow ozone site off Alfred Cook Road,NPS,IMPROVE,2
Martha's Vineyard,MAVI1,IMPAER,US,MA,25007,250070001,41.3309,-70.7846,2,12/01/2002,02/27/2020,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
Meadview,MEAD1,IMPAER,US,AZ,04015,040159000,36.0193,-114.0684,902,09/04/1991,02/27/2020,NA,Unknown,NA,MOHAVE: DRI Trailer,STATE,IMPROVE,1
Medicine Lake,MELA1,IMPAER,US,MT,30091,300919000,48.4871,-104.4757,606,12/15/1999,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,2
Mesa Verde NP,MEVE1,IMPAER,US,CO,08083,080839000,37.1984,-108.4907,2172,03/02/1988,02/27/2020,NA,Unknown,NA,"Resource  Management Research Area, Chapin Mesa",NPS,IMPROVE,2
Mingo,MING1,IMPAER,US,MO,29207,292070001,36.9717,-90.1432,111,06/03/2000,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,1
Mohawk Mt.,MOMO1,IMPAER,US,CT,09005,090050005,41.8214,-73.2973,521,09/13/2001,02/27/2020,NA,Unknown,NA,"Observation Tower, 10 mi W of Torrington, CT, Mohawk Mountain",STATE,IMPROVE,1
Monture,MONT1,IMPAER,US,MT,30077,300779000,47.1222,-113.1544,1282,03/29/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Moosehorn NWR,MOOS1,IMPAER,US,ME,23029,230291004,45.1259,-67.2661,77,12/03/1994,02/27/2020,NA,Unknown,NA,"McConvey Rd, about 1 mi NE of NWR Baring Unit HQ",FWS,IMPROVE,1
Mount Baldy,BALD1,IMPAER,US,AZ,04001,040018001,34.0584,-109.4406,2508,03/01/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Mount Hood,MOHO1,IMPAER,US,OR,41005,410050010,45.2888,-121.7837,1531,03/15/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Mount Rainier NP,MORA1,IMPAER,US,WA,53053,530530014,46.7583,-122.1244,439,03/02/1988,02/27/2020,NA,Unknown,NA,"Park HQ, Tahoma Woods, Ashford, WA",NPS,IMPROVE,1
Mount Zirkel Wilderness,MOZI1,IMPAER,US,CO,08057,080579000,40.5383,-106.6766,3243,06/01/1994,02/27/2020,NA,Unknown,NA,"Buffalo Pass, NE of Steamboat Springs, CO, DRI Storm Peak/ Mount Werner Facility",USFS,IMPROVE,1
Nebraska NF,NEBR1,IMPAER,US,NE,31171,311719000,41.8888,-100.3387,883,06/01/2002,02/27/2020,NA,NA,NA,NA,STATE,IMPROVE,1
Nogales,NOGA1,IMPAER,US,AZ,04023,NA,31.33745,-110.93715,1172,10/27/2015,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
North Absaroka,NOAB1,IMPAER,US,WY,56029,560299002,44.7448,-109.3816,2482,01/26/2000,02/27/2020,NA,Unknown,NA,"Dead Indian Summit, NW of Cody, WY",USFS,IMPROVE,1
North Birmingham,BIRM1,IMPAER,US,AL,01073,010730023,33.5531,-86.8148,175,03/01/2004,02/27/2020,NA,NA,NA,NA,STM,IMPROVE,1
North Cascades,NOCA1,IMPAER,US,WA,53073,530730022,48.7316,-121.0646,568,07/30/1997,02/27/2020,NA,Unknown,NA,Ross Dam,NPS,IMPROVE,1
Northern Cheyenne,NOCH1,IMPAER,US,MT,30087,300870762,45.6495,-106.5574,1283,06/01/2002,02/27/2020,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
Okefenokee NWR,OKEF1,IMPAER,US,GA,13049,130499000,30.7405,-82.1283,48,09/04/1991,02/27/2020,NA,Unknown,NA,"Headquarters, 3-4 mi W of GA Rt. 121",FWS,IMPROVE,1
Old Town,OLTO1,IMPAER,US,ME,23019,230194003,44.9334,-68.6457,51,06/27/2001,05/29/2006,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
Olympic,OLYM1,IMPAER,US,WA,53009,530090020,48.0065,-122.9727,599,07/12/2001,02/27/2020,NA,Unknown,NA,NA,NPS,IMPROVE,2
Omaha,OMAH1,IMPAER,US,NE,31173,311739000,42.1487,-96.4318,429,06/02/2003,08/04/2008,NA,NA,NA,NA,TRIBE,IMPROVE,1
Organ Pipe,ORPI1,IMPAER,US,AZ,04019,040190005,31.9506,-112.8016,504,12/01/2002,02/27/2020,NA,Unknown,NA,NA,STATE,IMPROVE,1
Owens Valley,OWVL1,IMPAER,US,CA,06027,NA,37.3607,-118.3308,1234,06/27/2013,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Pack Monadnock Summit,PACK1,IMPAER,US,NH,33011,NA,42.8619,-71.8786,695,10/03/2007,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Pasayten,PASA1,IMPAER,US,WA,53047,530470012,48.3877,-119.9275,1627,11/02/2000,02/27/2020,NA,Unknown,NA,"Loup-loup ski area, Hwy 20 E of Twisp, WA",USFS,IMPROVE,1
Penobscot,PENO1,IMPAER,US,ME,23019,NA,44.94798,-68.64786,45,01/11/2006,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Petersburg,PETE1,IMPAER,US,AK,02280,022809000,56.61076,-132.81234,0,07/02/2004,09/28/2009,NA,NA,NA,NA,USFS,IMPROVE,1
Petrified Forest NP,PEFO1,IMPAER,US,AZ,04017,040170119,35.0777,-109.7692,1766,03/02/1988,02/27/2020,NA,Unknown,NA,1 mile N of Park Headquarters,NPS,IMPROVE,1
Phoenix,PHOE1,IMPAER,US,AZ,04013,040139997,33.5038,-112.0958,342,04/19/2001,02/27/2020,NA,Unknown,NA,NA,EPA,IMPROVE,1
Phoenix Colocated Sampler,PHOE5,IMPAER,US,AZ,04013,NA,33.5038,-112.0958,342,01/01/2005,02/27/2020,Unknown,Unknown,NA,NA,EPA,IMPROVE,2
Pinnacles NM,PINN1,IMPAER,US,CA,06069,060690003,36.4833,-121.1568,302,03/02/1988,02/27/2020,NA,Unknown,NA,"1/2 mile SW of Pinnacles, E entrance",NPS,IMPROVE,1
Point Reyes National Seashore,PORE1,IMPAER,US,CA,06041,060410002,38.1224,-122.9085,97,03/02/1988,02/27/2020,NA,Unknown,NA,North District Ranger Station,NPS,IMPROVE,1
Presque Isle,PRIS1,IMPAER,US,ME,23003,230031020,46.6964,-68.0333,165,03/08/2001,02/27/2020,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
Proctor Maple R. F.,PMRF1,IMPAER,US,VT,50007,500070007,44.5284,-72.8688,401,12/01/1993,02/27/2020,NA,Unknown,NA,"5 Miles N. of Underhill, VT, 2 mi NE of Underhill Center, VT",STATE,IMPROVE,2
Puget Sound,PUSO1,IMPAER,US,WA,53033,530330080,47.5696,-122.3119,97,03/02/1996,02/27/2020,NA,Unknown,NA,"Next to reservoir East of I-5 on Union Hill, downtown Seattle, WA",EPA,IMPROVE,1
Quabbin Summit,QURE1,IMPAER,US,MA,25015,250154002,42.2985,-72.3346,317,04/04/2001,12/29/2015,NA,Unknown,NA,"Windsor Dam on Loop Road, 5 mi W of Ware, MA, Quabbin Summit",STATE,IMPROVE,2
Quaker City,QUCI1,IMPAER,US,OH,39121,391219000,39.9428,-81.3378,366,04/04/2001,02/27/2020,NA,Unknown,NA,NA,EPA,IMPROVE,1
Queen Valley,QUVA1,IMPAER,US,AZ,04021,040218001,33.2939,-111.2858,661,04/19/2001,12/29/2015,NA,Unknown,NA,NA,STATE,IMPROVE,1
Redwood NP,REDW1,IMPAER,US,CA,06015,060150002,41.5608,-124.0839,243,03/02/1988,02/27/2020,NA,Unknown,NA,"Old USAF radar facility 1/2 mile E of beach and 1/2 mile N of Klamath River, near Requa, CA",NPS,IMPROVE,1
Ripple Creek,RICR1,IMPAER,US,CO,08103,NA,40.0865,-107.3141,2934,03/02/2009,10/30/2011,NA,NA,NA,NA,NA,IMPROVE,1
Rocky Mountain NP,ROMO1,IMPAER,US,CO,08069,080699001,40.2783,-105.5457,2760,09/01/1990,02/27/2020,NA,Unknown,NA,"3 mi S of Lily Lake VC, Ozone monitoring shelter 15 miles from ROMO1",NA,IMPROVE,1
Rocky Mountain NP HQ,RMHQ1,IMPAER,US,CO,08069,080699000,40.3624,-105.5638,2408,03/02/1988,12/29/1999,NA,Unknown,NA,Park Headquarters at bone yard,NA,IMPROVE,1
Rubidoux,RUBI1,IMPAER,US,CA,06065,060658001,33.9996,-117.4161,247,09/03/2004,08/29/2005,NA,NA,NA,NA,NA,IMPROVE,1
Sac and Fox,SAFO1,IMPAER,US,KS,20013,200139000,39.9791,-95.5682,293,06/01/2002,06/29/2011,NA,NA,NA,NA,TRIBE,IMPROVE,2
Saguaro NM,SAGU1,IMPAER,US,AZ,04019,040190021,32.1746,-110.7371,941,06/01/1988,02/27/2020,NA,Unknown,NA,1/2 mile south of Headquarters,NPS,IMPROVE,1
Saguaro West,SAWE1,IMPAER,US,AZ,04019,040199000,32.2486,-111.2178,714,10/31/2001,02/27/2020,NA,Unknown,NA,"old TUMO site:  maintenance yard off Kinney Rd., ~1 mi SE of jxn with Mile Wide Rd.",STATE,IMPROVE,2
Salmon NF,SALM1,IMPAER,US,ID,16059,160590007,45.1588,-114.026,2788,12/01/1993,11/05/2000,NA,Unknown,NA,"Mountain Top Communications Facility, 6 miles SW of Salmon, ID",NA,IMPROVE,1
Salt Creek,SACR1,IMPAER,US,NM,35005,350059000,33.4598,-104.4042,1072,04/08/2000,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,1
San Andres,SAAN1,IMPAER,US,NM,35013,350139000,32.6869,-106.4844,1326,07/30/1997,02/26/2000,NA,Unknown,NA,NA,NA,IMPROVE,1
San Gabriel,SAGA1,IMPAER,US,CA,06037,060379034,34.2969,-118.0282,1791,12/03/2001,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,2
San Gorgonio Wilderness,SAGO1,IMPAER,US,CA,06071,060719010,34.1939,-116.9132,1726,03/02/1988,02/27/2020,NA,Unknown,NA,"Converse Fire Station, Seven Oaks, CA, S. of Big Bear Lake",USFS,IMPROVE,1
San Pedro Parks,SAPE1,IMPAER,US,NM,35039,350399000,36.0139,-106.8447,2935,08/16/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
San Rafael,RAFA1,IMPAER,US,CA,06083,060839000,34.7339,-120.0074,956,02/02/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Sawtooth NF,SAWT1,IMPAER,US,ID,16037,160370002,44.1705,-114.9271,1990,12/01/1993,02/27/2020,NA,Unknown,NA,"USFS Stanley Station Warehouse, Stanley, ID",USFS,IMPROVE,1
Scoville,SCOV1,IMPAER,US,ID,16023,160230003,43.65,-113.0333,1500,03/04/1992,02/26/2000,NA,Unknown,NA,"At the Idaho National Engineering Lab facility, Atomic City, ID",NA,IMPROVE,1
Seney,SENE1,IMPAER,US,MI,26153,261539000,46.2889,-85.9503,214,11/17/1999,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,2
Sequoia NP,SEQU1,IMPAER,US,CA,06107,061071001,36.4894,-118.8291,519,03/04/1992,02/27/2020,NA,Unknown,NA,"Residence area, park HQ, Ash Mountain water tank",NPS,IMPROVE,1
Shamrock Mine,SHMI1,IMPAER,US,CO,08067,080679000,37.3038,-107.4842,2351,08/01/2004,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Shenandoah NP,SHEN1,IMPAER,US,VA,51113,511139000,38.5229,-78.4348,1079,03/02/1988,02/27/2020,NA,Unknown,NA,Big Meadows 1/2 mile N of Visitor Center,NPS,IMPROVE,1
Shining Rock Wilderness,SHRO1,IMPAER,US,NC,37087,370870035,35.3937,-82.7744,1617,06/01/1994,02/27/2020,NA,Unknown,NA,"Frying Pan Mountain, Skyline Drive, NC",USFS,IMPROVE,1
Sierra Ancha,SIAN1,IMPAER,US,AZ,04007,040078100,34.0908,-110.9421,1600,02/09/2000,12/03/2017,NA,Unknown,NA,NA,USFS,IMPROVE,1
Sikes,SIKE1,IMPAER,US,LA,22127,221279000,32.0574,-92.435,45,03/02/2001,12/31/2010,NA,Unknown,NA,NA,EPA,IMPROVE,1
Simeonof,SIME1,IMPAER,US,AK,02013,020130002,55.3255,-160.5063,57,09/13/2001,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,1
Sipsey Wilderness,SIPS1,IMPAER,US,AL,01079,010799000,34.3433,-87.3388,286,03/04/1992,02/27/2020,NA,Unknown,NA,"Black Warrior work center, 4 mi. N of Grayson, AL, Moulton work area, Alabama National Forest",USFS,IMPROVE,1
Snoqualmie Pass,SNPA1,IMPAER,US,WA,53037,530370004,47.422,-121.4259,1049,06/02/1993,02/27/2020,NA,Unknown,NA,"DOT Radio Facility, Snoqualmie Ski Area, WA , 150 yards from Big Bull Lift",USFS,IMPROVE,1
South Dekalb,ATLA1,IMPAER,US,GA,13089,130890002,33.688,-84.2903,243,03/01/2004,02/27/2020,NA,NA,NA,NA,STN,IMPROVE,1
South Lake Tahoe,SOLA1,IMPAER,US,CA,06017,060170008,38.9333,-119.9667,1900,03/01/1989,12/29/1999,NA,Unknown,NA,"Lakeshore ~2 mi. W of Stateline, South Lake Tahoe, CA",NA,IMPROVE,1
Southern Great Plains,SOGP1,IMPAER,US,OK,40053,400539000,36.61,-97.49,314,10/03/2019,02/27/2020,Rural,Agricultural,NA,NA,DOE,IMPROVE,1
Spokane Res.,SPOK1,IMPAER,US,WA,53063,530630051,47.9045,-117.8609,552,07/12/2001,06/30/2005,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
St. Marks,SAMA1,IMPAER,US,FL,12129,121290001,30.0926,-84.1614,7,08/16/2000,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,2
Starkey,STAR1,IMPAER,US,OR,41061,410610010,45.2249,-118.5129,1259,03/15/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Stilwell,STIL1,IMPAER,US,OK,40071,400719010,35.75078,-94.66956,300,04/23/2010,02/27/2020,NA,Unknown,NA,NA,NA,IMPROVE,1
Storm Peak,STPE1,IMPAER,US,CO,08107,081079000,40.445,-106.74,3220,12/01/1993,12/29/1999,NA,Unknown,NA,"DRI Storm Peak, NE of Steamboat Springs, CO",NA,IMPROVE,1
Sula Peak,SULA1,IMPAER,US,MT,30081,300819000,45.8598,-114.0001,1895,06/01/1994,02/27/2020,NA,Unknown,NA,"Sula Peak Fire Lookout, Sula, MT",USFS,IMPROVE,1
Swanquarter,SWAN1,IMPAER,US,NC,37095,370959000,35.451,-76.2075,-3,06/10/2000,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,2
Sycamore Canyon,SYCA1,IMPAER,US,AZ,04005,040058103,35.1406,-111.9692,2046,09/04/1991,10/30/2015,NA,Unknown,NA,"~10 mi S of Parks, AZ, 75 yards south of residence",USFS,IMPROVE,1
Sycamore Canyon,SYCA2,IMPAER,US,AZ,04005,NA,35.1639,-111.9823,2046,10/24/2015,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Tallgrass,TALL1,IMPAER,US,KS,20017,200170001,38.4341,-96.5602,390,09/02/2002,02/27/2020,NA,Unknown,NA,NA,STATE,IMPROVE,1
Theodore Roosevelt,THRO1,IMPAER,US,ND,38007,380070002,46.8948,-103.3777,852,12/15/1999,02/27/2020,NA,Unknown,NA,NA,NPS,IMPROVE,1
Three Sisters Wilderness,THSI1,IMPAER,US,OR,41039,410390070,44.291,-122.0434,885,06/02/1993,02/27/2020,NA,Unknown,NA,"Carmen Smith Project EWEB facility radio transmitter bldg,  3/4 mile N. of Trail Bridge Campground, OR, Rt.126",USFS,IMPROVE,1
Thunder Basin,THBA1,IMPAER,US,WY,56005,560050123,44.6634,-105.2874,1195,06/01/2002,12/29/2019,NA,Unknown,NA,NA,STATE,IMPROVE,1
Tonto NM,TONT1,IMPAER,US,AZ,04007,040070010,33.6548,-111.1068,775,03/02/1988,02/27/2020,NA,Unknown,NA,Next to maintenance building,NPS,IMPROVE,1
Toolik Lake Field Station,TOOL1,IMPAER,US,AK,02185,021859000,68.63178,-149.60601,740,11/01/2018,02/27/2020,NA,Unknown,NA,University of Alaska Fairbanks Field Station,BLM,IMPROVE,1
Trapper Creek,TRCR1,IMPAER,US,AK,02170,021700011,62.3153,-150.3156,155,09/13/2001,02/27/2020,NA,Unknown,NA,NA,NPS,IMPROVE,2
Trinity,TRIN1,IMPAER,US,CA,06105,061059000,40.7864,-122.8046,1014,10/18/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Tuxedni,TUXE1,IMPAER,US,AK,02122,021220009,59.9925,-152.6656,15,12/03/2001,01/12/2015,NA,Unknown,NA,NA,FWS,IMPROVE,1
UL Bend,ULBE1,IMPAER,US,MT,30027,300279000,47.58227,-108.71964,891,01/26/2000,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,1
Upper Buffalo Wilderness,UPBU1,IMPAER,US,AR,05101,051019000,35.8258,-93.203,722,12/04/1991,02/27/2020,NA,Unknown,NA,"1 mile north of USFS workstation, Deer, AL, at Cooper Residence",USFS,IMPROVE,1
Viking Lake,VILA1,IMPAER,US,IA,19137,191370002,40.969,-95.045,371,05/08/2002,02/27/2020,NA,NA,NA,NA,STATE,IMPROVE,1
Virgin Islands NP,VIIS1,IMPAER,US,VI,78020,780209000,18.3363,-64.7962,51,09/01/1990,02/27/2020,NA,Unknown,NA,"Biosphere Reserve Complex, Lind Point, St. John, VI",NPS,IMPROVE,1
Voyageurs NP #1,VOYA1,IMPAER,US,MN,27137,271379001,48.4132,-92.8303,425,03/02/1988,12/29/1999,NA,Unknown,NA,"1 mile NW of Visitor Center, End of road 129,",NPS,IMPROVE,1
Voyageurs NP #2,VOYA2,IMPAER,US,MN,27137,271379000,48.4126,-92.8286,429,03/02/1988,02/27/2020,NA,Unknown,NA,NA,NA,IMPROVE,1
Walker River Paiute Tribe,WARI1,IMPAER,US,NV,32021,320219000,38.9519,-118.8146,1250,06/02/2003,10/31/2005,NA,NA,NA,NA,TRIBE,IMPROVE,1
Washington D.C.,WASH1,IMPAER,US,DC,11001,110010042,38.8762,-77.0344,15,03/02/1988,06/08/2015,NA,Unknown,NA,"Natl. Capitol Region Park Police HQ, on roof",NPS,IMPROVE,1
Weminuche Wilderness,WEMI1,IMPAER,US,CO,08111,081119000,37.6594,-107.79988,2750,03/02/1988,02/27/2020,NA,Unknown,NA,USFS fire station 30 miles N of Durango 1 mile N of Purgatory Ski Area,USFS,IMPROVE,1
Wheeler Peak,WHPE1,IMPAER,US,NM,35055,350559000,36.5854,-105.452,3366,08/16/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
White Mountain,WHIT1,IMPAER,US,NM,35027,350279000,33.4687,-105.5349,2063,12/03/2001,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
White Pass,WHPA1,IMPAER,US,WA,53041,530410007,46.6243,-121.3881,1827,02/16/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
White River NF,WHRI1,IMPAER,US,CO,08097,080979000,39.1536,-106.8209,3413,06/02/1993,02/27/2020,NA,Unknown,NA,"USFS Communication Facility, at Tourtellotte Park, Aspen Mt. Ski Area, Aspen, CO",USFS,IMPROVE,1
Wichita Mountains,WIMO1,IMPAER,US,OK,40031,400319000,34.7323,-98.713,509,03/02/2001,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,1
Wind Cave,WICA1,IMPAER,US,SD,46033,460330132,43.5576,-103.4838,1296,12/15/1999,02/27/2020,NA,Unknown,NA,NA,NPS,IMPROVE,2
Wrightwood,WRIG1,IMPAER,US,CA,06071,NA,34.37892,-117.69211,2106,10/01/2009,10/15/2012,NA,Unknown,NA,NA,NA,IMPROVE,1
Yellowstone NP,YELL1,IMPAER,US,WY,56039,560399001,44.5654,-110.4003,2442,03/09/1988,12/29/1999,NA,Unknown,NA,"SW of Fishing Bridge, Yellowstone Lake above maintenance yard and seasonal employee housing/campground. , Lake Ranger Office",NPS,IMPROVE,1
Yellowstone NP,YELL2,IMPAER,US,WY,56039,560399000,44.5653,-110.4002,2425,03/02/1988,02/27/2020,NA,Unknown,NA,NA,NA,IMPROVE,1
Yosemite NP,YOSE1,IMPAER,US,CA,06043,060430003,37.7133,-119.7061,1603,03/02/1988,02/27/2020,NA,Unknown,NA,"Turtleback Dome, 1 mi W of Tunnel View",NPS,IMPROVE,2
Yosemite NP,YOSEX,IMPAER,US,CA,06043,NA,37.7133,-119.7061,1603,11/02/2012,07/29/2015,NA,Unknown,NA,"Turtleback Dome, 1 mi W of Tunnel View",NPS,IMPROVE,1
Zion,ZION1,IMPAER,US,UT,49053,490539000,37.4591,-113.2243,1545,03/25/2000,08/22/2004,NA,Unknown,NA,NA,NPS,IMPROVE,1
Zion Canyon,ZICA1,IMPAER,US,UT,49053,490530130,37.1983,-113.1508,1215,12/01/2002,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
